都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
141097,14B0900019,神奈川県,横浜市港北区,横浜市総合保健医療センター　介護医療院,ヨコハマシソウゴウホケンイリョウセンター　カイゴイリョウイン,介護医療院,神奈川県横浜市港北区鳥山町1735,,35.509635700000000,139.609002100000000,045-475-0001,045-475-0002,7020005010291,公益財団法人横浜市総合保健医療財団(横浜市指定管理者）,14B0900019,,,,https://yccc.jp/care/clinic/,,,,
141101,14B1000017,神奈川県,横浜市戸塚区,十慈堂病院介護医療院,ジュウジドウビョウインカイゴイリョウイン,介護医療院,神奈川県横浜市戸塚区南舞岡1-23-9,,35.396072100000000,139.557319800000000,045-823-1010,045-823-1971,7020005001976,医療法人敬生会,14B1000017,,,,https://www.jujidou.or.jp/,,,,
141127,14B3200011,神奈川県,横浜市旭区,横浜鶴ヶ峰病院介護医療院,ヨコハマツルガミネビョウインカイゴイリョウイン,介護医療院,神奈川県横浜市旭区川島町1764番地,,35.470569500000010,139.554023700000000,045-371-2511,045-371-2053,7020005005779,医療法人順正会,14B3200011,,,,http://www.tsurugaminehospital.com/,,,,
141135,14B3300019,神奈川県,横浜市緑区,医療法人社団元気会横浜病院　介護医療院,イリョウホウジンシャダンゲンキカイヨコハマビョウイン　カイゴイリョウイン,介護医療院,神奈川県横浜市緑区寺山町７２９,,35.501795700000000,139.541951100000000,045-933-1011,045-931-0862,1020005001783,医療法人社団元気会,14B3300019,,,56,http://genkikaiyokohama.jp/,,,,
141143,14B3400017,神奈川県,横浜市瀬谷区,三ツ境病院介護医療院,ミツキョウビョウインカイゴイリョウイン,介護医療院,神奈川県横浜市瀬谷区三ツ境２３番地8,,35.465050700000000,139.502308500000000,045-391-0006,045-362-3864,4020005001319,医療法人　愛生会,14B3400017,,,24,http://www.mitu.or.jp/,,,,
141526,14B2600039,神奈川県,相模原市中央区,田名病院介護医療院,タナビョウインカイゴイリョウイン,介護医療院,神奈川県相模原市中央区田名塩田３丁目１４番３６号,,35.530863400000000,139.354527300000000,042-778-3080,042-778-5377,7021005002519,医療法人社団白寿会,14B2600039,,,,https://www.tanabyouin.com,,,,
141534,14B2600021,神奈川県,相模原市南区,相模原南病院　介護医療院,サガミハラミナミビョウイン　カイゴイリョウイン,介護医療院,神奈川県相模原市南区大野台7-10-7,,35.549547600000000,139.414596600000000,042-759-3911,042-758-0140,1021005002508,医療法人直源会,14B2600021,,,0,http://minami-h.or.jp/,,,,
141534,14B2600047,神奈川県,相模原市南区,医療法人相愛会相愛病院介護医療院,イリョウホウジンソウアイカイソウアイビョウインカイゴイリョウイン,介護医療院,神奈川県相模原市南区当麻1632,,35.524882800000000,139.374937700000000,042-778-2111,042-778-2345,9021005002351,医療法人相愛会,14B2600047,,,,http://souai-hp.or.jp,,,,
141534,14B2600013,神奈川県,相模原市南区,相模原友愛温泉病院　介護医療院,サガミハラユウアイオンセンビョウイン　カイゴイリョウイン,介護医療院,神奈川県相模原市南区麻溝台697番地,,35.537350175239716,139.390449652147480,042-778-1181,042-778-2670,6021005002536,医療法人社団友愛病院会,14B2600013,,,89,https://www.yuuai-byouinkai.or.jp/facilities/sagamihara/,,,,
142051,14B2200012,神奈川県,藤沢市,湘南長寿園病院　介護医療院,ショウナンチョウジュエンビョウイン　カイゴイリョウイン,介護医療院,神奈川県藤沢市白旗１丁目１１番１号,,35.352642800000000,139.479635100000000,0466-82-7311,0466-84-2235,1021005006649,医療法人社団湘南シルバーサポート,14B2200012,,,60,http://www.chojuen.com,,,,
142069,14B2300010,神奈川県,小田原市,公益財団法人積善会　介護医療院こもれび,コウエキザイダンホウジンセキゼンカイ　カイゴイリョウインコモレビ,介護医療院,神奈川県小田原市曽我岸148,,35.302871200000000,139.181276800000000,0465-42-9898,0465-42-1635,8021005005776,公益財団法人積善会,14B2300010,,,0,https://soga-hp.com/komorebi/,,,,
142077,14B2400018,神奈川県,茅ヶ崎市,介護医療院　湘南の丘,カイゴイリョウイン　ショウナンノオカ,介護医療院,神奈川県茅ケ崎市赤羽根3685,,35.352874846654070,139.434060292065450,0467-53-1811,0467-54-0551,3021005001581,医療法人社団湘南健友会,14B2400018,,,56,https://www.nagaoka-hp.com/,,,,
142115,14B2800019,神奈川県,秦野市,医療法人社団　三喜会　鶴巻温泉病院介護医療院,イリョウホウジンシャダン　サンキカイ　ツルマキオンセンビョウインカイゴイリョウイン,介護医療院,神奈川県秦野市鶴巻北1-16-1,,35.382941100000010,139.279665600000040,0463-78-1311,0463-78-5955,1021005004322,医療法人社団三喜会,14B2800019,,,0,http://www.sankikai.or.jp/tsurumaki/,,,,
142166,14B4100012,神奈川県,座間市,相武台リハビリテーション病院介護医療院,相武台リハビリテーションビョウインカイゴイリョウイン,介護医療院,神奈川県座間市相武台1-9-7,,35.505952400000000,139.411755500000000,046-256-5111,046-256-5115,8021005004695,医療法人神奈川せいわ会,14B4100012,,,0,https://www.smg-net.com,,,,
143821,14B1500016,神奈川県,箱根町,特定医療法人社団研精会　介護医療院はこね仙石原,トクテイイリョウホウジンシャダンケンセイカイ　カイゴイリョウインハコネセンゴクハラ,介護医療院,神奈川県足柄下郡箱根町仙石原1285,,35.263786254461960,139.021353853271140,0460-84-9111,0460-84-5312,3012405002212,特定医療法人社団研精会,14B1500016,,,,https://www.kensei-hakone.com/,,,,
143847,14B1500024,神奈川県,湯河原町,湯河原中央温泉病院介護医療院,ユガワラチュウオウオンセンビョウインカイゴイリョウイン,介護医療院,神奈川県足柄下郡湯河原町中央四丁目11番地2,,35.151135500000000,139.112070899999930,0465-63-2555,0465-62-1770,8021005005784,一般財団法人生活保健協会,14B1500024,,,0,https://www.yugawara-hp.com,,,,
151017,15B0100098,新潟県,新潟市北区,介護医療院　尾山愛広苑,カイゴイリョウイン　オヤマアイコウエン,介護医療院,新潟県新潟市北区木崎754,,37.930775400000000,139.172736900000000,025-388-6100,025-388-5101,8110005002287,医療法人愛広会,15B0100098,,,,http://www.aiko.or.jp,,,,
151025,15B0100080,新潟県,新潟市東区,介護医療院　アビラ大形,カイゴイリョウイン　アビラオオガタ,介護医療院,新潟市東区一日市80番地,,37.922313800000000,139.134618600000000,025-272-1212,025-272-1120,9110005000620,医療法人敬愛会,15B0100080,,,,https://www.avilla-ogata.com,,,,
151033,15B0100056,新潟県,新潟市中央区,介護医療院　みどりケアセンター,カイゴイリョウイン　ミドリケアセンター,介護医療院,新潟県新潟市中央区神道寺2丁目5番1号,,37.896893899999990,139.055095200000000,025-244-6100,025-246-5800,9110005000653,医療法人新成医会,15B0100056,,,0,http://www.midori-gr.jp/,,,,
151033,15B0100031,新潟県,新潟市中央区,介護医療院　栞の郷,カイゴイリョウイン　シオリノサト,介護医療院,新潟県新潟市中央区姥ヶ山２７４番地１,,37.884800500000000,139.079808400000000,025-286-8811,025-286-8812,6110005000623,医療法人健周会,15B0100031,,,0,https://www.higashi-niigata-hp.or.jp,,,,
151050,15B0100106,新潟県,新潟市秋葉区,介護医療院　すこやか,カイゴイリョウイン　スコヤカ,介護医療院,新潟県新潟市秋葉区古田６０８番地,,37.791043000000000,139.102773700000000,0250-24-5325,0250-22-2715,6110005002017,社会医療法人健進会,15B0100106,,,,http:/www.niitsu-mch.jp,,,,
151068,15B0100072,新潟県,新潟市南区,白根大通病院　介護医療院,シロネオオドオリビョウイン　カイゴイリョウイン,介護医療院,新潟県新潟市南区大通黄金4丁目14番地2,,37.823055400000010,139.019674400000000,025-362-0260,025-362-0360,6110005002090,医療法人社団白美会,15B0100072,,,0,http://www.jojinkai.com/shirone/,,,,
151076,15B0100064,新潟県,新潟市西区,介護医療院こばり園,カイゴイリョウインコバリエン,介護医療院,新潟県新潟市西区小針3-25-1介護医療院　こばり園,介護医療院　こばり園,37.887831800000015,138.999579600000000,025-232-0200,025-232-1350,4110005000419,新潟県厚生農業協同組合連合会,15B0100064,,,100,https://www.niigata-medical.jp/,,,,
151076,15B0100023,新潟県,新潟市西区,黒埼病院介護医療院,クロサキビョウインカイゴイリョウイン,介護医療院,新潟県新潟市西区黒鳥2339番地1,,37.841252100000000,138.986271100000000,025-370-7555,025-370-7575,9110005002022,医療法人社団晴和会,15B0100023,,,,https://www.kurosaki-hp.jp/,,,,
151076,15B0100049,新潟県,新潟市西区,聖園病院介護医療院,ミソノビョウインカイゴイリョウイン,介護医療院,新潟県新潟市西区青山7-9-10,,37.898248600000000,138.992129900000000,025-267-0171,025-267-0175,3110005000659,医療法人社団仁和会,15B0100049,,,0,https://www.misono-hp.or.jp,,,,
151084,15B0100015,新潟県,新潟市西蒲区,岩室リハビリテーション病院　介護医療院,イワムロリハビリテーションビョウイン　カイゴイリョウイン,介護医療院,新潟県新潟市西蒲区岩室温泉772番地1,,37.732503300000000,138.839071400000000,0256-82-4100,0256-82-4288,9110005000109,一般社団法人新潟県労働衛生医学協会,15B0100015,,,,http://iwamurohp.jp/,,,,
152021,15B0200013,新潟県,長岡市,介護医療院長岡保養園すま居る,カイゴイリョウインナガオカホヨウエンスマイル,介護医療院,新潟県長岡市町田町575番地,,37.417115703333900,138.861515423278770,0258-32-4040,0258-36-8263,2110005011203,医療法人至誠会,15B0200013,,,0,https://www.i-shiseikai.or.jp,,,,
152021,15B0200021,新潟県,長岡市,田宮病院　介護医療院,タミヤビョウイン　カイゴイリョウイン,介護医療院,新潟県長岡市深沢町２３００番地,,37.425356372056170,138.772041457286100,0258-46-3200,0258-46-7300,3110005011210,社会医療法人崇徳会,15B0200021,,,,http://www.sutokukai.or.jp/tamiya-hp/,,,,
152048,15B0400019,新潟県,三条市,かもしか病院介護医療院,カモシカビョウインカイゴイリョウイン,介護医療院,新潟県三条市南五百川80番地,,37.537426400000000,139.126787400000000,0256-41-3131,0256-41-3132,9110005005529,医療法人社団しただ,15B0400019,,,0,http://www.shitada.jp/,,,,
152048,15B0400027,新潟県,三条市,富永草野病院　介護医療院,トミナガクサノビョウイン　カイゴイリョウイン,介護医療院,新潟県三条市興野2-2-25,,37.632621847243286,138.970380144163980,0256-36-8777,0256-35-6212,1110005005494,医療法人積発堂,15B0400027,,,0,https://www.shihatsudo.or.jp/care/,,,,
152048,15B0400035,新潟県,三条市,三条東病院　介護医療院,サンジョウヒガシビョウイン　カイゴイリョウイン,介護医療院,新潟県三条市北入蔵２丁目１７番２７号,,37.632093323592265,138.985132604893520,0256-38-1133,0256-38-1134,8110005005513,医療法人社団　橘光葉会,15B0400035,,,0,http://www.tachibanakoyokai.or.jp/,,,,
152048,15B0490002,新潟県,三条市,済生会三条病院介護医療院なでしこ,サイセイカイサンジョウビョウインカイゴイリョウインナデシコ,介護医療院,新潟県三条市大野畑6番18号,,37.626585600000000,138.939826500000000,0256-33-1551,0256-34-7541,3010405001696,社会福祉法人恩賜財団済生会,15B0490002,,,,https://www.saisanhp.com/,,,,
152064,15B0600014,新潟県,新発田市,豊浦壱番館,トヨウライチバンカン,介護医療院,新潟県新発田市荒町甲1611-8,,37.935482000000010,139.321807000000000,0254-21-0195,0254-21-0062,8110005002287,医療法人愛広会,15B0600014,,,0,http://www.aiko.or.jp,,,,
152081,15B0800010,新潟県,小千谷市,新潟県厚生農業協同組合連合会小千谷総合病院介護医療院,ニイガタケンコウセイノウギョウキョウドウクミアイレンゴウカイオヂヤソウゴウビョウインカイゴイリョウイン,介護医療院,新潟県小千谷市平沢新田111,,37.321551000000000,138.792999700000000,0258-81-1600,0258-81-1601,4110005000419,新潟県厚生農業協同組合連合会,15B0800010,,,80,https://www.ojiya-ghp.jp/,,,,
152099,15B0900018,新潟県,加茂市,加茂病院　介護医療院,カモビョウイン　カイゴイリョウイン,介護医療院,青海町1－9－1,,0.000000000000000,0.000000000000000,0256－52－0701,0256－52－2258,3110005011210,社会医療法人崇徳会,15B0900018,,,,https://www.sutokukai.or.jp/kamo-hp/,,,,
152129,15B1200020,新潟県,村上市,山北徳新会介護医療院,サンポクトクシンカイカイゴイリョウイン,介護医療院,新潟県村上市勝木1340-1山北徳洲会病院　4階,山北徳洲会病院　4階,38.490321500000000,139.516477900000000,0254-60-5555,0254-60-5556,1190005011989,医療法人徳新会,15B1200020,,,0,http://sanpoku-hp.or.jp,,,,
152129,15B1200012,新潟県,村上市,医療法人新光会村上記念病院介護医療院,イリョウホウジンシンコウカイムラカミキネンビョウインカイゴイリョウイン,介護医療院,新潟県村上市松山204番地1,,38.217708500000000,139.456942100000000,0254-52-1229,0254-52-3556,1020005001593,医療法人新光会（社団）,15B1200012,,,0,http://murakamikinen-hp.jp/,,,,
152129,15B1200038,新潟県,村上市,介護医療院瀬波,カイゴイリョウインセナミ,介護医療院,新潟県村上市瀬波温泉２丁目４－１５,,38.217631500000000,139.444175700000000,0254-50-1900,0254-50-1901,4110005000419,新潟県厚生農業協同組合連合会,15B1200038,,,82,,,,,
152129,15B1200046,新潟県,村上市,肴町介護医療院,サカナマチカイゴイリョウイン,介護医療院,新潟県村上市田端町１６番７号,,38.223219700000010,139.464276100000000,0254-53-2781,0254-53-2803,5110005007454,医療法人山北会,15B1200046,,,0,http://www.sanpokukai.jp,,,,
152226,15B0300011,新潟県,上越市,介護医療院　えがおと虹の森ふもと,カイゴイリョウイン　エガオトニジノモリフモト,介護医療院,新潟県上越市中央1丁目23-26,,37.174369300000000,138.246049600000000,025-543-2108,025-531-1527,9110005008085,医療法人麓会,15B0300011,,,,http://www.fumotokai-hp.com/,,,,
152234,15B2100013,新潟県,阿賀野市,あがの市民病院介護医療院,アガノシミンビョウインカイゴイリョウイン,介護医療院,新潟県阿賀野市岡山町13-23,,37.832795700000000,139.221167700000020,0250-62-2780,0250-62-1598,9000020152234,阿賀野市,15B2100013,,,0,https://www.niigata-kouseiren.jp/hospital/aganoshimin/,,,,
154610,15B5800015,新潟県,湯沢町,湯沢介護医療院ゆきざくら,ユザワカイゴイリョウインユキザクラ,介護医療院,新潟県南魚沼郡湯沢町大字湯沢２８７７番地１,,36.938834100000000,138.813455200000000,025-780-6543,025-784-1900,9000020154610,湯沢町,15B5800015,,,0,https://yuzawa.jadecom.or.jp,,,,
162019,16B0100022,富山県,富山市,いま泉病院　介護医療院,イマイズミビョウイン　カイゴイリョウイン,介護医療院,富山県富山市今泉220番地,,36.668877500000010,137.212514899999970,076-425-1166,076-425-1228,5230005000380,医療法人社団いずみ会,16B0100022,,,0,https://izumikai.mutsumi-gr.jp/,,,,
162019,16B0100097,富山県,富山市,栗山介護医療院,クリヤマカイゴイリョウイン,介護医療院,富山市開発133番地,,36.631376700000000,137.246171700000000,076-429-0203,076-429-3682,6230005000421,医療法人社団　基伸会,16B0100097,,,48,http:/kishin-kai.com,,,,
162019,16B0100063,富山県,富山市,医療法人社団城南会　城南内科介護医療院,イリョウホウジン　シャダンジョウナンカイ　ジョウナンナイカカイゴイリョウイン,介護医療院,富山県富山市太郎丸西町一丁目6番6,,36.677201899999986,137.209459399999960,076-421-6300,076-461-3306,2230005000375,医療法人社団城南会,16B0100063,,,64,https://jonankai.or.jp/jnmlc/,,,,
162019,16B0100089,富山県,富山市,医療法人社団城南会　富山城南病院介護医療院,イリョウホウジンシャダンジョウナンカイ　トヤマジョウナンビョウインカイゴイリョウイン,介護医療院,富山県富山市太郎丸本町一丁目8番1,,36.677968583323846,137.212185718521300,076-491-3366,076-491-2852,2230005000375,医療法人社団城南会,16B0100089,,,0,https://jonankai.or.jp/tjmlc/,,,,
162019,16B0100105,富山県,富山市,誠友病院介護医療院,セイユウビョウインカイゴイリョウイン,介護医療院,富山県富山市上千俵町103番地,,36.626543100000000,137.244007900000000,076-429-6677,076-429-6642,8230005000378,医療法人社団翠十字会,16B0100105,,,0,,,,,
162019,16B0100055,富山県,富山市,おおやま病院介護医療院,オオヤマビョウインカイゴイリョウイン,介護医療院,富山県富山市花崎８５,,36.609691400000000,137.280953599999970,076-483-3311,076-483-3313,4230005002502,医療法人社団東方会,16B0100055,,,0,https://www.ooyamahp.or.jp/,,,,
162019,16B0100048,富山県,富山市,友愛温泉病院介護医療院,ユウアイオンセンビョウインカイゴイリョウイン,介護医療院,富山県富山市婦中町新町2131,,36.663255359360036,137.123379631352240,076-469-5421,076-469-5425,6021005002536,医療法人社団友愛病院会,16B0100048,,,,http://www.yuuai-byouinkai.or.jp/,,,,
162019,16B0100014,富山県,富山市,流杉病院介護医療院,ナガレスギビョウインカイゴイリョウイン,介護医療院,富山県富山市流杉１２０番地,,36.658654841800640,137.276267224745170,076-424-2211,076-494-1811,,,16B0100014,,,0,https://www.nagaresugi.com/,,,,
162019,16B0100139,富山県,富山市,富山西総合病院介護医療院,トヤマニシソウゴウビョウインカイゴイリョウイン,介護医療院,富山県富山市婦中町下轡田1019,,36.660009348577030,137.174278609787020,076-461-7700,076-461-7788,8230005004271,医療法人社団藤聖会,16B0100139,,,48,https://toyama-nishi.jp/,,,,
162019,16B0100071,富山県,富山市,介護医療院　尽誠会,カイゴイリョウイン　ジンセイカイ,介護医療院,富山県富山市水橋辻ヶ堂466-1,,36.745478900000000,137.297098600000000,076-478-0418,076-478-2579,1230005007909,医療法人社団　尽誠会,16B0100071,,,100,https://nomura-hospital.jp,,,,
162019,16B0100113,富山県,富山市,萩野病院介護医療院,ハギノビョウインカイゴイリョウイン,介護医療院,富山市婦中町萩島315-1,,36.628423800000000,137.179241900000000,076-465-2131,076-465-2134,2230005002512,医療法人社団継和会,16B0100113,,,,https://hagino-hp.jp/,,,,
162019,16B0100030,富山県,富山市,介護医療院　せいわ,カイゴイリョウイン　セイワ,介護医療院,針原中町３３６,,36.724460100000000,137.264967100000040,076-451-7001,076-451-7701,8230005000386,医療法人社団　正啓会,16B0100030,,,33,http://seikeikaitoyama.com/,,,,
162027,16B0200020,富山県,高岡市,丹保病院介護医療院,タンボビョウインカイゴイリョウイン,介護医療院,大坪町1丁目1番3号,,36.754499300000000,137.018052500000070,0766-22-3719,0766-22-2275,7230005005865,医療法人社団桑山会,16B0200020,,,0,www.kuwayamakai.jp/,,,,
162027,16B0200046,富山県,高岡市,介護医療院高陵クリニック,カイゴイリョウインコウリョウクリニック,介護医療院,富山県高岡市野村23-1,,36.737714200000000,137.027245500000000,0766-26-6200,0766-26-6204,7230005005873,医療法人社団高陵クリニック,16B0200046,,,,https://www.ko-cli.com/,,,,
162027,16B0200012,富山県,高岡市,介護医療院　光ヶ丘,カイゴイリョウイン　ヒカリガオカ,介護医療院,富山県高岡市西藤平蔵313番地,,36.706623800000024,136.985906099999960,0766-63-5353,0766-63-5716,9230005005863,医療法人社団紫蘭会,16B0200012,,,0,http://shirankai.net/,,,,
162027,16B0200038,富山県,高岡市,万葉病院介護医療院,マンヨウビョウインカイゴイリョウイン,介護医療院,高岡市西海老坂字大坪362番,,36.777645245676810,136.998981442486920,０７６６－２４－２１６３,０７６６－２４－２２７９,1230005005862,医療法人社団川岸会,16B0200038,,,0,https:www.kawagisikai-manyo.com,,,,
162043,16B0400026,富山県,魚津市,魚津病院介護医療院,ウオヅビョウインカイゴイリョウイン,介護医療院,富山県魚津市友道789番地,,36.814560500000000,137.411361599999960,0765-24-7671,0765-24-7157,3230005003550,医療法人社団七徳会,16B0400026,,,0,http://www.uozubyouin.jp/,,,,
162043,16B0400018,富山県,魚津市,新川病院介護医療院,ニイカワビョウインカイゴイリョウイン,介護医療院,富山県魚津市住吉２３６番地,,36.800248500000000,137.399404499999950,0765-24-3800,0765-24-5055,5230005003549,医療法人社団福寿会,16B0400018,,,0,http://www.fukujukai.com,,,,
162051,16B0500015,富山県,氷見市,陽和温泉病院介護医療院,ヨウワオンセンビョウインカイゴイリョウイン,介護医療院,富山県氷見市堀田4-1,,36.812728800000000,136.972749799999970,0766-91-2751,0766-91-3575,6021005002536,医療法人社団　友愛病院会,16B0500015,,,96,http://www.yuuai-byouinkai.or.jp/facilities/youwa/,,,,
162060,16B0600013,富山県,滑川市,吉見病院　介護医療院,ヨシミビョウイン　カイゴイリョウイン,介護医療院,富山県滑川市清水町３番２５号,,36.763420600000000,137.343748700000000,076-475-0861,076-475-7235,8230005004429,医療法人社団　秀林会　吉見病院,16B0600013,,,,https://yoshimi-hospital.jp,,,,
162078,16B0700011,富山県,黒部市,池田リハビリテーション病院　　介護医療院,イケダリハビリテーションビョウインカイゴイリョウイン,介護医療院,富山県黒部市荻生821番地,,36.888128100000000,137.469861300000050,0765-54-5400,0765-54-3921,1230005004170,医療法人社団一志会,16B0700011,,,29,http://www.ikeda-reha.co.jp,,,,
162078,16B0700029,富山県,黒部市,黒部温泉病院介護医療院,クロベオンセンビョウインカイゴイリョウイン,介護医療院,富山県黒部市窪野929番地,,36.851411716069980,137.444595772491450,0765-52-4655,0765-52-4714,6021005002536,医療法人社団友愛病院会,16B0700029,,,80,http://www.yuuai-byouinkai.or.jp,,,,
162086,16B0800027,富山県,砺波市,砺波サンシャイン介護医療院,トナミサンシャインカイゴイリョウイン,介護医療院,砺波市鷹栖５７５番地,,36.635300699999990,136.939799600000010,0763-33-0800,0769-33-7585,9230005005822,医療法人社団藤和会,16B0800027,,,0,https://www.tonami-shp.com/,,,,
162086,16B0800019,富山県,砺波市,となみ三輪病院　介護医療院,トナミミワビョウイン　カイゴイリョウイン,介護医療院,砺波市頼成605,,36.636567100000000,137.008493700000030,0763-37-1000,0763-37-0800,3230005000382,医療法人社団　三医会,16B0800019,,,0,http://www.sanikai.or.jp/,,,,
162086,16B0800035,富山県,砺波市,砺波誠友病院介護医療院,トナミセイユウビョウインカイゴイリョウイン,介護医療院,富山県砺波市大窪17-1,,36.654631200000000,136.980804000000000,0763-33-7766,0763-33-6767,8230005000378,医療法人社団翠十字会,16B0800035,,,0,,,,,
162094,16B0900033,富山県,小矢部市,西野介護医療院,ニシノカイゴイリョウイン,介護医療院,富山県小矢部市本町6-30西野内科病院,西野内科病院,36.674948400000000,136.868206300000000,0766-67-1730,0766-67-1798,,医療法人社団にしの会,16B0900033,,,,http://www.nishinokai.jp,,,,
162094,16B0900041,富山県,小矢部市,太田病院,オオタビョウイン,介護医療院,富山県小矢部市新富町3-11,,36.677582699999995,136.869667299999970,0766-67-0443,0766-67-4540,2230005005713,医療法人社団薫風会,16B0900041,,,0,http://www.otahospital.com,,,,
162094,16B0900058,富山県,小矢部市,西野介護医療院,ニシノカイゴイリョウイン,介護医療院,本町3-33,,35.690278300000000,139.681406600000000,0766-67-1730,0766-67-1798,4230005005414,医療法人社団にしの会,16B0900058,,,,http://www.nishinokai.jp,,,,
162094,16B0900017,富山県,小矢部市,小矢部大家病院介護医療院,オヤベオオカビョウインカイゴイリョウイン,介護医療院,富山県小矢部市島321番地,,36.665419600000000,136.876110100000000,0766-67-2002,0766-67-2288,8230005005419,医療法人社団啓愛会,16B0900017,,,0,http/www1.tst.ne.jp/ohkahp/,,,,
162094,16B0900025,富山県,小矢部市,つざわ津田介護医療院,ツザワツダカイゴイリョウイン,介護医療院,富山県小矢部市新西117番1号,,36.629516000000000,136.895734600000000,0766-61-8585,0766-61-8830,3230005005407,医療法人社団寿恵会,16B0900025,,,40,https://tsudahp.jp/,,,,
162108,16B1000015,富山県,南砺市,南砺中央介護医療院,ナントチュウオウカイゴイリョウイン,介護医療院,富山県南砺市梅野2007-5,,36.541796900000000,136.903787000000000,0763-53-0001,0763-53-2014,2000020162108,南砺市,16B1000015,,,0,https://nantohp.city.nanto.toyama.jp/medical_facility,,,,
162116,16B1100013,富山県,射水市,くるみ介護医療院,クルミカイゴイリョウイン,介護医療院,富山県射水市大島北野48,,36.744976900000000,137.052452700000000,0766-52-2580,0766-52-8016,2230005005886,医療法人社団樫の木会,16B1100013,,,0,https://www.kurumi.or.jp,,,,
172014,17B0100039,石川県,金沢市,小池病院介護医療院,コイケビョウインカイゴイリョウイン,介護医療院,石川県金沢市大手町８番２０号,,36.567672200000000,136.664194899999980,076-263-5521,076-263-5523,1220005001870,医療法人社団博仁会,17B0100039,,,0,http://www.koike-hospital.jp,,,,
172014,17B0100054,石川県,金沢市,林病院介護医療院,ハヤシビョウインカイゴイリョウイン,介護医療院,石川県金沢市本町1丁目2番27号,,36.574509200000000,136.651777700000000,076-261-8181,076-263-6000,7220005003300,白銀会,17B0100054,,,,https://hayashibyouin.or.jp/,,,,
172014,17B0100013,石川県,金沢市,医療法人社団　和宏会　敬愛病院　介護医療院,イリョウホウジンシャダン　ワコウカイ　ケイアイビョウイン　カイゴイリョウイン,介護医療院,石川県金沢市兼六元町14番21号,,36.565281900000000,136.667377999999990,076-222-1301,076-222-1880,8220005001848,医療法人社団和宏会,17B0100013,,,,http://www.keiai-hosp.jp/,,,,
172014,17B0100021,石川県,金沢市,医療法人社団和宏会大手町病院　介護医療院,イ）オオテマチビョウイン　カイゴイリョウイン,介護医療院,大手町5番32号,,36.568636100000000,136.662948000000030,076-221-1863,076-221-6591,8220005001848,医療法人社団和宏会　大手町病院　介護医療院,17B0100021,,,70,http://www.ootemachi-hosp.jp./,,,,
172014,17B0100047,石川県,金沢市,医療法人社団浅ノ川　千木病院介護医療院,イリョウホウジンシャダンアワノガワ　センギビョウインカイゴイリョウイン,介護医療院,金沢市千木町へ33番地1,,36.611309426412820,136.672927906745900,076-257-8600,076-257-5466,7220005001840,医療法人社団浅ノ川,17B0100047,,,100,http://www.sengi-hp.jp,,,,
172022,17B0210937,石川県,七尾市,北村病院介護医療院,キタムラビョウインカイゴイリョウイン,介護医療院,石川県七尾市御祓町ホ部２６番地の５,,37.043916000000000,136.963487000000000,0767-52-1173,0767-54-0616,9220005005237,医療法人社団　豊明会,17B0210937,,,17,http://kitamurahospital.iza-yoi.net/,,,,
172022,17B0210945,石川県,七尾市,浜野介護医療院,ハマノカイゴイリョウイン,介護医療院,石川県七尾市津向町野中20番1,,37.063244600000000,136.954677600000000,0767-52-3262,0767-52-3264,4220005005150,愛生会,17B0210945,,,,http://www.hamano-hp.or.jp/nishihospital.htm,,,,
172049,17B0400017,石川県,輪島市,市立輪島病院介護医療院,シリツワジマビョウインカイゴイリョウイン,介護医療院,石川県輪島市山岸町は１番１地,,37.384190800000000,136.905772700000000,0768-23-0630,0768-23-0668,,,17B0400017,,,,https://www.city.wajima.ishikawa.jp/wajimahp/,,,,
172065,17B0600012,石川県,加賀市,介護医療院　まごころ,カイゴイリョウイン　マゴコロ,介護医療院,石川県加賀市大聖寺永町イ17番地久藤総合病院5階,久藤総合病院5階,36.307838900000000,136.320067699999980,0761-75-7013,0761-73-3458,4220005003939,医療法人社団慈豊会,17B0600012,,,29,https://www.jihoukai.or.jp/magokoro/,,,,
172065,17B0600020,石川県,加賀市,加賀温泉ケアセンター,カガオンセンケアセンター,介護医療院,石川県加賀市直下町ヲ91番地,,36.277037600000000,136.327559100000000,0761-73-3315,0761-73-2088,4220005003939,慈豊会,17B0600020,,,0,https://www.jihoukai.or.jp/carecenter/,,,,
172090,17B2100011,石川県,かほく市,二ツ屋病院　介護医療院,フタツヤビョウイン　カイゴイリョウイン,介護医療院,石川県かほく市二ツ屋ソ７２,,36.784677500000000,136.738513900000040,076-281-0172,076-281-0161,1220005007059,医療法人社団芙蓉会,17B2100011,,,0,http://www.futatsuya-hp.jp/,,,,
172111,17B2300017,石川県,能美市,芳珠記念病院　介護医療院　陽だまり,ホウジュキネンビョウイン　カイゴイリョウイン　ヒダマリ,介護医療院,石川県能美市緑が丘11丁目71番地,,36.441911500000000,136.535887099999970,0761-51-5551,0761-51-5557,2220005003453,医療法人社団和楽仁,17B2300017,,,,http://www.houju.or.jp,,,,
