全国地方公共団体コード,ID,地方公共団体名,介護サービス事業所名称,介護サービス事業所名称_カナ,介護サービス事業所名称_英字,実施サービス,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,画像,画像_ライセンス,備考
352071,KD0000900079,山口県下松市,特別養護老人ホームほしのさと,トクベツヨウゴロウジンホームホシノサト,,短期入所生活介護,352071,,山口県下松市生野屋南1-13-1,山口県,下松市,生野屋南1,13-1,,34.0313728,131.8739669,,,0833-45-3100,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900080,山口県下松市,特別養護老人ホーム松寿苑,トクベツヨウゴロウジンホームショウジュエン,,短期入所生活介護,352071,,山口県下松市大字来巻944-1,山口県,下松市,大字来巻,944-1,,34.0236471,131.9299712,,,0833-47-1220,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900081,山口県下松市,ショートステイ野の花,ショートステイノノハナ,,短期入所生活介護,352071,,山口県下松市瑞穂町2-21-1,山口県,下松市,瑞穂町2,21-1,,34.0237061,131.8519855,,,0833-45-5500,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900082,山口県下松市,地域密着型特別養護老人ホームほがらか,チイキミッチャクガタトクベツヨウゴロウジンホームホガラカ,,短期入所生活介護,352071,,山口県下松市大字山田256,山口県,下松市,大字山田,256,,34.034765,131.905605,,,0833-47-1717,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900083,山口県下松市,老人保健施設成幸苑,ロウジンホケンシセツセイコウエン,,短期入所療養介護,352071,,山口県下松市新川2-1-1,山口県,下松市,新川2,1-1,,34.0088411,131.8630646,,,0833-41-7577,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900084,山口県下松市,介護老人保健施設ふくしの里,カイゴロウジンホケンシセツフクシノサト,,短期入所療養介護,352071,,山口県下松市生野屋南1-10-1,山口県,下松市,生野屋南1,10-1,,34.032642,131.876613,,,0833-45-3360,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900085,山口県下松市,小規模多機能のんびり村米川,ショウキボタキノウノンビリムラヨネガワ,,小規模多機能型居宅介護,352071,,山口県下松市大字下谷179,山口県,下松市,大字下谷,179,,34.0816291,131.8774859,,,0833-53-5588,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900086,山口県下松市,あらなほーむ,アラナホーム,,小規模多機能型居宅介護,352071,,山口県下松市大字西豊井617-1,山口県,下松市,大字西豊井,617-1,,34.0080292,131.8701419,,,0833-57-0538,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900087,山口県下松市,小規模多機能居宅介護つどい,ショウキボタキノウキョタクカイゴツドイ,,小規模多機能型居宅介護,352071,,山口県下松市大字山田256,山口県,下松市,大字山田,256,,34.034768,131.905605,,,0833-47-1165,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900088,山口県下松市,JA小規模多機能おひさま下松,ジェイエイショウキボタキノウオヒサマクダマツ,,小規模多機能型居宅介護,352071,,山口県下松市河内1933-1,山口県,下松市,河内,1933-1,,34.0213131,131.8857569,,,0833-43-6660,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900089,山口県下松市,指定福祉用具貸与・販売事業所げんき,シテイフクシヨウグタイヨ・ハンバイジギョウショゲンキ,,福祉用具貸与,352071,,山口県下松市大字西豊井1655-3,山口県,下松市,大字西豊井,1655-3,,34.018663,131.875538,,,0833-45-2200,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
352071,KD0000900090,山口県下松市,株式会社ホームケアサービス山口周南店,カブシキガイシャホームケアサービスヤマグチシュウナンテン,,福祉用具貸与,352071,,山口県下松市大字末武上1800-1,山口県,下松市,大字末武上,1800-1,,34.036276,131.87073,,,0833-45-3008,,,,,,,,,,,,,https://www.city.kudamatsu.lg.jp/chouju/kaigo/kg6.html,,,
